Altitude,Temperature,Pressure,Density,Speed of sound,Viscosity
42.7000,258.610,193.234,0.00260302,322.380,0.0000166088
42.8000,258.890,190.700,0.00256609,322.554,0.0000166235
42.9000,259.170,188.201,0.00252974,322.729,0.0000166382
43.0000,259.450,185.738,0.00249393,322.903,0.0000166529
43.1000,259.730,183.309,0.00245867,323.077,0.0000166676
43.2000,260.010,180.915,0.00242395,323.251,0.0000166822
43.3000,260.290,178.555,0.00238975,323.425,0.0000166969
43.4000,260.570,176.228,0.00235607,323.599,0.0000167115
43.5000,260.850,173.934,0.00232291,323.773,0.0000167261
43.6000,261.130,171.672,0.00229024,323.947,0.0000167408
43.7000,261.410,169.442,0.00225807,324.120,0.0000167554
43.8000,261.690,167.243,0.00222638,324.294,0.0000167700
43.9000,261.970,165.075,0.00219517,324.467,0.0000167846
44.0000,262.250,162.937,0.00216443,324.641,0.0000167992
44.1000,262.530,160.830,0.00213415,324.814,0.0000168138
44.2000,262.810,158.751,0.00210433,324.987,0.0000168284
44.3000,263.090,156.702,0.00207496,325.160,0.0000168430
44.4000,263.370,154.682,0.00204602,325.333,0.0000168576
44.5000,263.650,152.689,0.00201752,325.506,0.0000168721
44.6000,263.930,150.724,0.00198945,325.679,0.0000168867
44.7000,264.210,148.787,0.00196180,325.851,0.0000169013
44.8000,264.490,146.877,0.00193456,326.024,0.0000169158
44.9000,264.770,144.993,0.00190772,326.197,0.0000169303
45.0000,265.050,143.135,0.00188129,326.369,0.0000169449
45.1000,265.330,141.303,0.00185525,326.541,0.0000169594
45.2000,265.610,139.496,0.00182960,326.714,0.0000169739
45.3000,265.890,137.714,0.00180432,326.886,0.0000169884
45.4000,266.170,135.957,0.00177943,327.058,0.0000170029
45.5000,266.450,134.224,0.00175490,327.230,0.0000170174
45.6000,266.730,132.515,0.00173074,327.402,0.0000170319
45.7000,267.010,130.829,0.00170693,327.574,0.0000170464
45.8000,267.290,129.167,0.00168348,327.745,0.0000170609
45.9000,267.570,127.527,0.00166037,327.917,0.0000170754
46.0000,267.850,125.910,0.00163760,328.088,0.0000170898
46.1000,268.130,124.315,0.00161517,328.260,0.0000171043
46.2000,268.410,122.742,0.00159307,328.431,0.0000171187
46.3000,268.690,121.191,0.00157129,328.602,0.0000171332
46.4000,268.970,119.660,0.00154983,328.774,0.0000171476
46.5000,269.250,118.151,0.00152869,328.945,0.0000171620
46.6000,269.530,116.662,0.00150786,329.116,0.0000171764
46.7000,269.810,115.193,0.00148733,329.287,0.0000171909
46.8000,270.090,113.745,0.00146710,329.457,0.0000172053
46.9000,270.370,112.316,0.00144717,329.628,0.0000172197
47.0000,270.650,110.906,0.00142753,329.799,0.0000172341
47.1000,270.650,109.515,0.00140963,329.799,0.0000172341
47.2000,270.650,108.141,0.00139195,329.799,0.0000172341
47.3000,270.650,106.785,0.00137449,329.799,0.0000172341
47.4000,270.650,105.446,0.00135725,329.799,0.0000172341
47.5000,270.650,104.123,0.00134022,329.799,0.0000172341
47.6000,270.650,102.817,0.00132341,329.799,0.0000172341
47.7000,270.650,101.527,0.00130681,329.799,0.0000172341
47.8000,270.650,100.254,0.00129042,329.799,0.0000172341
47.9000,270.650,98.9962,0.00127423,329.799,0.0000172341
48.0000,270.650,97.7545,0.00125825,329.799,0.0000172341
48.1000,270.650,96.5283,0.00124247,329.799,0.0000172341
48.2000,270.650,95.3176,0.00122688,329.799,0.0000172341
48.3000,270.650,94.1220,0.00121149,329.799,0.0000172341
48.4000,270.650,92.9414,0.00119630,329.799,0.0000172341
48.5000,270.650,91.7756,0.00118129,329.799,0.0000172341
48.6000,270.650,90.6244,0.00116647,329.799,0.0000172341
48.7000,270.650,89.4877,0.00115184,329.799,0.0000172341
48.8000,270.650,88.3652,0.00113739,329.799,0.0000172341
48.9000,270.650,87.2568,0.00112313,329.799,0.0000172341
49.0000,270.650,86.1623,0.00110904,329.799,0.0000172341
49.1000,270.650,85.0815,0.00109513,329.799,0.0000172341
49.2000,270.650,84.0143,0.00108139,329.799,0.0000172341
49.3000,270.650,82.9605,0.00106783,329.799,0.0000172341
49.4000,270.650,81.9199,0.00105443,329.799,0.0000172341
49.5000,270.650,80.8924,0.00104121,329.799,0.0000172341
49.6000,270.650,79.8777,0.00102815,329.799,0.0000172341
49.7000,270.650,78.8758,0.00101525,329.799,0.0000172341
