,index,Magnitude,U,V,Direction
10704,80087,1.7241656000000003,-0.10105626,-1.7202927,-3.0829164423180413
10705,80088,1.6973957999999998,-0.07312668,-1.6949723,-3.0984761027670977
10706,80089,1.7101302999999999,-0.29582885,-1.6789142,-2.9671804750565944
10707,80090,1.6872894,-0.37609023,-1.6424773999999998,-2.9164956899420553
10708,80091,1.8814623,-0.056056965,-1.8713654999999998,-3.111646495440218
10709,80092,1.6333325,-0.48405048,-1.5577954999999999,-2.8403230645435684
10710,80093,1.8933783,-0.017065002,-1.8887668999999998,-3.132557903098641
10711,80094,1.9249705000000001,0.1523371,-1.9140924,3.0621729364859354
10712,80095,2.103213,0.14399984,-2.0959425,3.0729963501936592
10713,80096,1.9416232,0.027546313,-1.9388968,3.127386399876652
10714,80097,2.235964,0.039046757,-2.2333472000000003,3.1241109206944335
10715,80098,2.3679616,0.32890445,-2.3422756000000002,3.002083926121597
10716,80099,2.3110409,-0.14060467,-2.284934,-3.080134598437672
10717,80100,2.6106362,-0.32639116,-2.5870453999999996,-3.0160920494311076
10718,80101,2.5552528,-0.52256036,-2.4918584999999998,-2.9348810275026027
10719,80102,2.640725,-0.30104953,-2.6219754,-3.0272754211823445
10720,80103,2.409136,-0.052947808,-2.406763,-3.119596608051105
10721,80104,2.1042959999999997,0.058028985,-2.1023345,3.1139974946363513
10722,80105,2.2112527,0.03916861,-2.2099721000000003,3.1238709323559752
10723,80106,2.139087,-0.17992714,-2.1250882,-3.0571260263026407
10724,80107,1.9862212,-0.018696156999999998,-1.9842651000000002,-3.132170725158762
10725,80108,2.063482,-0.21047969,-2.0507894,-3.039317262824695
10726,80109,2.3395085,-0.38400245,-2.304714,-2.9764931800806673
10727,80110,2.1315863,-0.2548756,-2.115991,-3.021718050407185
10728,80111,1.8572958,-0.10250286,-1.8532453000000002,-3.086339025659533
10729,80112,1.776643,-0.012468776,-1.7760308,-3.134572183477561
10730,80113,2.1362665,-0.09916608,-2.1279272999999996,-3.095024152427169
10731,80114,2.0405526000000003,-0.19161284,-2.0275218,-3.0473665779676864
10732,80115,2.3650556000000003,-0.47788185,-2.3131256000000002,-2.937863173577295
10733,80116,2.3256927000000003,-0.19732708,-2.3165033,-3.056614631965428
10734,80117,2.4349554,-0.18083808,-2.4280624,-3.067251558657845
10735,80118,2.3352854,-0.21288137,-2.3252330000000003,-3.0502944653373825
10736,80119,2.1952507000000003,-0.17994715,-2.1872437000000002,-3.0595063286208544
10737,80120,2.137469,-0.21316023,-2.1255154999999997,-3.0416404762960703
10738,80121,2.0104849999999996,-0.55468816,-1.9310318,-2.8618741065584077
10739,80122,2.100463,-0.44175324,-2.0500858,-2.9293573960760813
10740,80123,1.9399234,-0.33557758,-1.9097161,-2.967647315949877
10741,80124,1.7554499,-0.25158733,-1.7365909,-2.9977193800747166
10742,80125,1.6195271,-0.2263154,-1.6031618,-3.001351193061124
10743,80126,1.6083329,-0.08083932,-1.604431,-3.091250185531739
10744,80127,1.6886554,-0.21740636,-1.6704799,-3.012174029796015
10745,80128,1.731487,-0.33763862,-1.686782,-2.9440362213502174
10746,80129,1.9482585,-0.23782379999999997,-1.9135041000000002,-3.0179396916481096
10747,80130,1.7812248,-0.24404317,-1.7369533,-3.0020056622340134
10748,80131,1.7306554,-0.28995112,-1.6946192,-2.972132570623062
10749,80132,1.3270358,-0.25735432,-1.2820951,-2.9434957412220077
10750,80133,1.4600742,-0.06316268,-1.4161696000000001,-3.0970211222689636
10751,80134,1.4011228,-0.20021743,-1.3670902,-2.996171320560739
10752,80135,1.5965745,0.22674605,-1.5748684,2.9985975510469567
10753,80136,1.7711468000000001,0.3279848,-1.7358203999999997,2.9548434635340546
10754,80137,1.5548373,0.23979956,-1.5343008,2.9865545188275644
10755,80138,1.5212808,0.017202958,-1.518921,3.130267362480387
10756,80139,1.7407618999999999,-0.07056433,-1.7249366999999998,-3.1007070915362025
10757,80140,2.189768,-0.52081585,-2.1156200000000003,-2.900215837782237
10758,80141,1.8992259999999999,-0.06281639,-1.8741186,-3.108087366220133
10759,80142,2.2102625,0.25881898,-2.1893358,3.023920763416882
10760,80143,1.9183447,0.43073857,-1.8653963,2.9146602035914126
10761,80144,2.2181903999999997,0.06014225,-2.2133777,3.1144271792920777
10762,80145,2.3019624,-0.10874431,-2.29756,-3.0942976025978375
10763,80146,2.4859720000000003,0.055131692,-2.4716263,3.1192905154666826
10764,80147,2.097477,0.15840305,-2.0670671,3.0651103431577926
10765,80148,2.1486075000000002,0.3427741,-2.1134622000000003,2.9808066308517747
10766,80149,2.2189507,0.21269345,-2.2074272999999995,3.045535638878027
10767,80150,2.0432456,0.08060328,-2.035285,3.10201039341662
10768,80151,2.2620301,0.1388068,-2.2450624,3.079843664083819
10769,80152,2.4638984,0.07399947,-2.459047,3.111508989138966
10770,80153,2.5734383999999997,-0.33174580000000004,-2.5449588,-3.011969455529072
10771,80154,2.260959,-0.38353834,-2.2192345,-2.9704585109603268
10772,80155,2.5522737999999996,-0.064400725,-2.5465136000000004,-3.1163082802290876
10773,80156,2.4017622000000003,0.20788863,-2.390619,3.054850695961671
10774,80157,1.8837078,0.09479462,-1.8795323,3.091200135333973
10775,80158,2.040223,0.07444889,-2.0362294,3.1050467995635547
10776,80159,2.2158701,-0.2008138,-2.205361,-3.050785962154932
10777,80160,2.1913066000000003,-0.35656962,-2.1584467999999997,-2.977873953550579
10778,80161,1.9307092000000001,-0.47851363,-1.868484,-2.8908836780023304
10779,80162,2.0943358,-0.692759,-1.9748574,-2.804214774834632
