Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
3.71,0,0.7995622333,0.7995622333,0.7673135866,0.7995622333,0.7673135866,0,0,0,0,7.91376095,127.2250977,126.5783682,480771900
3.72,0,0.7988231928,0.7988231928,0.7667079822,0.7988231928,0.7667079822,0,0,0,0,7.910795825,127.0714146,126.434196,482067800
3.73,0,0.7980868708,0.7980868708,0.7661050963,0.7980868708,0.7661050963,0,0,0,0,7.907854917,126.9180538,126.2903348,483363600
3.74,0,0.7973533114,0.7973533114,0.765504973,0.7973533114,0.765504973,0,0,0,0,7.904940023,126.7651485,126.1469093,484659600
3.75,0,0.7966224844,0.7966224844,0.7649075821,0.7966224844,0.7649075821,0,0,0,0,7.902051141,126.6125971,126.0038241,485955400
3.76,0,0.7958943672,0.7958943672,0.7643129011,0.7958943672,0.7643129011,0,0,0,0,7.900070681,126.4527368,125.8539704,487251300
3.77,0,0.7951689481,0.7951689481,0.763720918,0.7951689481,0.763720918,0,0,0,0,7.898097207,126.2934773,125.7046849,488547200
3.78,0,0.7944462274,0.7944462274,0.7631316334,0.7944462274,0.7631316334,0,0,0,0,7.896123201,126.134876,125.5560206,489843100
3.79,0,0.7937261873,0.7937261873,0.7625450294,0.7937261873,0.7625450294,0,0,0,0,7.894149326,125.976918,125.4079637,491138900
3.8,0,0.7930088111,0.7930088111,0.7619610893,0.7930088111,0.7619610893,0,0,0,0,7.892173302,125.8195361,125.2604511,492434800
3.81,0,0.7922940932,0.7922940932,0.7613798075,0.7922940932,0.7613798075,0,0,0,0,7.890198976,125.6628588,125.1136033,493730700
3.82,0,0.7915820024,0.7915820024,0.7608011528,0.7915820024,0.7608011528,0,0,0,0,7.888222884,125.5067553,124.9672975,495026600
3.83,0,0.7908725475,0.7908725475,0.7602251341,0.7908725475,0.7602251341,0,0,0,0,7.886248872,125.3513537,124.8216541,496322500
3.84,0,0.7901657202,0.7901657202,0.7596517429,0.7901657202,0.7596517429,0,0,0,0,7.884272819,125.1965117,124.6765393,497618300
3.85,0,0.7894614867,0.7894614867,0.7590809454,0.7894614867,0.7590809454,0,0,0,0,7.882297103,125.0422945,124.5320144,498914200
3.86,0,0.7887598504,0.7887598504,0.7584654282,0.7887598504,0.7584654282,0,0,0,0,7.880322791,124.8887159,124.3880925,500210100
