,Total Impulse,Total Specific Impulse,Used Specific Impulse,Burn Time,Average Thrust,Combustion Efficiency,Launch Temperature,Average OF,Average Regression,Discharge Coefficient
34,115614.7462307431,179.76984330198627,191.3049355702221,19.57199999999976,5907.150328568593,0.8147710953281941,294.95401850169776,5.949069439774006,0.0008328041288252914,0.7439699807786204
35,102146.79982012215,158.8284781667396,168.63126904002272,23.020999999999688,4437.11393163301,0.9072143896007409,284.402006427538,5.0861772993995364,0.0006989965683506557,0.6018838501258539
36,72737.84277253647,113.10037018328325,134.52309142899972,24.203999999999663,3005.199255186642,0.7628953724891333,291.0158171981742,14.083758896924303,0.000254130602140202,0.46059977880259706
37,96977.18661122328,150.7902253763831,182.5768861555679,18.31799999999979,5294.092510712108,0.860060580650143,280.8297895714326,6.440277755862394,0.000698738945299723,0.8560494154342628
38,129321.22855619194,201.082108909954,216.9017869988449,20.712999999999738,6243.481318794649,0.9083725922105642,298.37605598876854,4.752033271176506,0.0007822568028336466,0.6673657031062367
39,85704.42877402715,133.2621679612026,172.9005850104302,13.896999999999881,6167.117275241267,0.7900789936091032,286.9438325475204,7.232748255071318,0.0006983377707419032,1.0
40,94191.73163681616,146.4591100074618,148.66711840653034,29.95699999999954,3144.231119164723,0.8493712076735898,285.78502924382116,3.5608914543780967,0.000699228894749161,0.3198685881716529
41,107779.37753161392,167.58659636180323,181.8166024624547,20.40199999999974,5282.7849000889755,0.8836691860686414,293.3079877143771,6.084011095731235,0.0006988677580629545,0.6291885483703791
42,97792.73522353313,152.05832526000424,171.9933148899081,16.74599999999982,5839.766823332986,0.8734688660925621,292.4940910768746,6.084757948145815,0.0006986205661053567,0.8743678816703788
43,69458.37152442736,108.00110688334637,129.26208062198268,18.56199999999978,3741.965926324113,0.7640881533905182,291.7485885258738,14.245347741478643,0.0002970769134279648,0.5294853508314064
44,104226.60274735752,162.06237227209806,173.0649945606298,21.665999999999716,4810.606607004472,0.7997384905622431,290.6996607494907,5.478777748312796,0.0007424005696453835,0.6630573649483771
45,79491.46181106637,123.60160013758981,145.85434102936267,26.12199999999962,3043.084825475367,0.9125268924139333,277.08373161220334,13.673702103940379,0.0002298777205465108,0.46379503453774246
46,96341.3921322081,149.80162593218492,161.20538278442433,21.37899999999972,4506.356337163074,0.8577610769711994,286.6407231678537,5.516400765626665,0.0006892222176178493,0.5768349922020094
47,116881.43374363643,181.73942091322758,192.98009703506756,23.404999999999678,4993.866000582698,0.8738435080133159,286.2160163737461,5.34928817911565,0.0007072817854362823,0.6110324768880042
48,98831.84853397601,153.67404681007804,169.20714724556265,18.11999999999979,5454.296276709556,0.8496196709644095,290.8751603310423,6.792411226243129,0.0006987251655629325,0.7806342909769054
49,89735.31413251272,139.52980814454918,148.67786890047904,29.293999999999553,3063.265997559708,0.8084650639176019,277.99146301042856,4.621145516561175,0.000564029829681656,0.40072486122442946
50,92601.86389219307,143.9870181278381,168.9366653837329,20.286999999999747,4564.591309320956,0.899094060043126,286.2026162617291,14.47662464550749,0.00031560559632940144,0.7239358457808149
51,96772.56430848948,150.4720573182607,158.2146659081337,33.956999999999454,2849.8561212265818,0.8529401261630177,287.3033556742089,4.6547690296846,0.0005194408923250043,0.3112744983385451
52,81927.63807511334,127.38962060661962,146.82067830611044,13.404999999999891,6111.722348012981,0.8266447913471364,296.23267293727787,15.472191236088763,0.00047518453507549517,0.9406873457516522
53,105250.06336353393,163.65375538363114,178.35832808085834,20.914999999999733,5032.276517501089,0.7842700384254059,292.48213576231524,5.776863941061811,0.0006988955295242846,0.6015418920840192
54,115572.94914504635,179.70485284193555,189.5922522614212,23.910999999999667,4833.463642049599,0.8233097364615162,283.3791168475679,5.524602285364824,0.0007210069890248758,0.7259353134465196
55,70242.30778835672,109.22005259675961,129.73017082117153,14.559999999999865,4824.334326123446,0.7730727623748106,293.6704895002271,14.716903567499605,0.0003759494573514536,0.7294241398585802
56,101733.93580583677,158.18651421687298,168.9085512110471,22.4769999999997,4526.134973788234,0.809600069689986,294.5082812544934,5.825322920958538,0.0006989722827779711,0.5134111891663926
57,91892.1213340116,142.88343651192216,156.557479787457,20.44499999999974,4494.601190218281,0.8048753357204569,280.2565266119847,5.199772805410362,0.0006988701393984043,0.831557210815643
58,121158.69740428805,188.390155729546,201.86624508419422,22.171999999999706,5464.491133153962,0.899179325093459,285.2094826357032,6.35072875477206,0.0006989581454086421,0.7847939572451585
