,Chamber Pressure [psia],O/F Ratio,C-star [m/s],Specific Impulse [s],Chamber Temperature [K],Chamber Density [kg/m^3],Molar Mass [kg/mol],Throat Velocity [m/s],Exit Pressure [psia],gamma,Exit Velocity [m/s],Thrust Coefficient
702,33.91919191919192,2.214141414141414,1377.1275710590685,103.33766839193622,3715.135705275265,0.017824324798186488,20.95125250034553,956.8901508184462,0.7807239529820733,1.2214476941919026,1423.690331530265,1.5015974221746986
703,43.87878787878788,2.214141414141414,1377.1321824310103,118.40353275517519,3716.3187980760035,0.023052846993071346,20.95321292897586,957.0100632195798,1.0161416167162063,1.219748259520677,1549.1694293195446,1.5013027196133673
704,53.83838383838384,2.214141414141414,1377.1396655585202,128.60848577936807,3717.204154836701,0.02828083553996694,20.95484023875754,957.0929468504064,1.2529774954082102,1.2185308073403252,1636.7060645947495,1.5010872529579609
705,63.7979797979798,2.214141414141414,1377.1488159871835,136.14263637377093,3717.912261773483,0.033508424913386056,20.956267925721836,957.1538208966384,1.49097961112219,1.2176034994465406,1702.5226789650824,1.5009235724251373
706,73.75757575757576,2.214141414141414,1377.1590834523965,142.02181215024035,3718.504556846246,0.03873570114454135,20.957565089260004,957.200377821918,1.7299721846933342,1.2168667494752632,1754.4763800266662,1.500795962667038
707,83.71717171717172,2.214141414141414,1377.170130639274,146.7892570879199,3719.016280941569,0.04396272109993183,20.95877114405045,957.2370084519478,1.969825517013736,1.2162630447162865,1796.8571565803315,1.5006946863652315
708,93.67676767676768,2.214141414141414,1377.1817451971624,150.767600279747,3719.469259493044,0.04918952507060415,20.959910522846506,957.2664258856515,2.2104397434947534,1.215756516360631,1832.2834913381978,1.500613327178444
709,103.63636363636364,2.214141414141414,1377.19378579905,154.16170330065538,3719.8778296425025,0.05441614283470729,20.960999289754326,957.2904089312323,2.4517355382774353,1.2153234716063193,1862.4650247113086,1.500547452416119
710,113.5959595959596,2.214141414141414,1377.206094185909,157.1089471288192,3720.2518509792326,0.05964259713785867,20.962048501555234,957.3101065177212,2.693648633469526,1.2149475253822726,1888.5856966090728,1.5004939255035838
711,123.55555555555556,2.214141414141414,1377.2187143932995,159.7052732249098,3720.5983573141903,0.06486890582002557,20.96306605287368,957.3265268737597,2.936125281190367,1.2146171513091906,1911.5036587375362,1.5004502806476356
712,133.51515151515153,2.214141414141414,1377.2315393138276,162.01986513679915,3720.922519753075,0.07009508318131788,20.964057752597,957.3402430378146,3.179120449547559,1.214323657608774,1931.8563462334673,1.5004147899440772
713,143.4747474747475,2.214141414141414,1377.2444475550412,164.10399225166202,3721.228236624272,0.07532114037037806,20.96502798351129,957.3515901731678,3.422595834316292,1.2140603654573288,1950.1235276588736,1.5003861519508428
714,153.43434343434345,2.214141414141414,1377.2575687557712,164.38015615561787,3721.518510101106,0.08054708811452348,20.965980123934145,957.3612240186235,3.666517622004033,1.2138234563399686,1966.673591409371,1.500363125455028
715,163.3939393939394,2.214141414141414,1377.2708140153004,167.03924884334683,3721.795740284107,0.08577293470504846,20.966917249528624,957.3692943939482,3.9108569730968723,1.2136080859890164,1981.7890096793283,1.5003448987118781
716,173.35353535353536,2.214141414141414,1377.2841376211006,169.46943013261063,3722.061718013093,0.09099868581631097,20.967840679968646,957.3760320525655,4.155588297893293,1.2134109975937895,1995.692703671164,1.5003307987327348
717,183.31313131313132,2.214141414141414,1377.297536219273,171.70282842845072,3722.3179996058225,0.0962243479521538,20.96875250001674,957.3816232734804,4.40068878565709,1.213229662118688,2008.5604181554063,1.500320236686795
718,193.27272727272728,2.214141414141414,1377.3109969028703,173.76557172185784,3722.565825293882,0.10144992625684747,20.96965411014913,957.3862203032443,4.646138080908073,1.2130620109490295,2020.5329292014878,1.5003127364009248
719,203.23232323232324,2.214141414141414,1377.3244862835165,175.67913859495152,3722.8062208158467,0.10667542522460319,20.970546669698123,957.389941642965,4.891917988354069,1.2129063273195269,2031.7243658077443,1.5003079219200794
720,213.1919191919192,2.214141414141414,1377.3380385282692,177.46079566416935,3723.040042885622,0.11190084881044005,20.971431147866102,957.3929061569274,5.137745965577666,1.2127597056414037,2042.2283221511461,1.500312523630417
721,223.15151515151516,2.214141414141414,1377.3516255491295,179.1267288416952,3723.268013407538,0.11712620051792012,20.972308362132154,957.395195619867,5.384147231053554,1.2126240483266972,2052.1232718269594,1.5003115284562423
722,233.11111111111111,2.214141414141414,1377.365240928815,180.68957340030857,3723.4907455890293,0.12235148346935124,20.97317900757267,957.3968850457759,5.6308336716579825,1.2124967004072627,2061.4840322647196,1.5003123829249736
723,243.07070707070707,2.214141414141414,1377.3788791719471,181.66834255390998,3723.7087641252347,0.1275767004625799,20.97404367953742,957.3980385652801,5.877792713565855,1.212376791110942,2066.498938653439,1.5003148731769822
724,253.03030303030306,2.214141414141414,1377.3925355457502,183.5966017510131,3723.922520982956,0.13280185401738784,20.974902891391164,957.3987113717004,6.125012798412423,1.2122635710236351,2066.5248562097017,1.5003188144892938
725,262.989898989899,2.214141414141414,1377.4061924154403,185.37997330510416,3724.1326318475612,0.13802693872986518,20.975757182337826,957.3989512565927,6.372483329775106,1.2121563912448667,2066.552572724149,1.5003240612329563
726,272.949494949495,2.214141414141414,1377.4198735088785,187.03428776414404,3724.338986424595,0.14325197188186914,20.976606751676098,957.3987998412599,6.620194316514339,1.212054686871727,2066.5818902022843,1.5003304437807385
727,282.90909090909093,2.214141414141414,1377.4335018922923,188.57315034590732,3724.5421117821456,0.14847694783962656,20.977452035938192,957.3982191203264,6.8681370591323,1.2119578758715233,2066.612624378444,1.5003379121219793
728,292.8686868686869,2.214141414141414,1377.4471927648915,190.0083139676815,3724.742271260254,0.15370186833385674,20.97829333560189,957.3973873710798,7.11630221600893,1.2118656952464757,2066.644645956374,1.5003462468810194
729,302.82828282828285,2.214141414141414,1377.4608858013898,191.34998898679189,3724.9396977494343,0.15892673495496296,20.979130916726863,957.3962611045048,7.364682351157128,1.2117776764003405,2066.677807917179,1.5003554070063188
730,312.7878787878788,2.214141414141414,1377.4745788583732,192.60708587616574,3725.1345980773863,0.16415154916915395,20.97996501589709,957.3948654377477,7.613269971682588,1.2116934797153762,2066.7119889319306,1.500365306727024
731,322.74747474747477,2.214141414141414,1377.4882700324554,193.7874164301313,3725.3271566465696,0.16937631233227848,20.98079584432032,957.3932227415892,7.862058122001397,1.2116128014426222,2066.747087183226,1.500375874178899
732,332.7070707070707,2.214141414141414,1377.501957625889,194.89785729565338,3725.5175384703216,0.17460102570173874,20.981623591252728,957.391353013018,8.111040272501224,1.21153537055111,2066.7830031748986,1.5003870389617515
733,342.6666666666667,2.214141414141414,1377.5156401202858,195.9444870770531,3725.7058917210147,0.17982569044680694,20.982448426873752,957.3892741882883,8.360210281793776,1.2114609441549684,2066.8196551063197,1.5003987433288901
734,352.62626262626264,2.214141414141414,1377.5293161562272,196.93269814718366,3725.892349880641,0.1850503076575814,20.983270504712653,957.3870024067215,8.609562363285107,1.2113893037495596,2066.8569672402587,1.500410933764483
735,362.5858585858586,2.214141414141414,1377.542984510664,197.86729105204478,3726.077033564864,0.19027487835282247,20.984089963708644,957.3845522345375,8.859091055510307,1.2113202522077389,2066.894871533489,1.5004235621916702
