time,position,velocity,acceleration,g-force,mock,imperial position,imperial velocity,imperial acceleration
25.220000000001143,[   0.         3761.95693494],[ 0.         42.53287271],[ 0.         -3.41392134],0.3480042140672783,0.12400254434402333,[    0.         12342.37879043],[  0.        139.5435501],[  0.         -11.20052969]
25.230000000001144,[   0.         3762.38209306],[ 0.         42.49875137],[ 0.         -3.41213362],0.34782197961264016,0.12390306521865888,[    0.         12343.77366619],[  0.         139.43160344],[  0.         -11.19466447]
25.240000000001146,[   0.         3762.80691005],[ 0.         42.46464789],[ 0.         -3.41034841],0.34764000101936793,0.12380363816326533,[    0.         12345.16742277],[  0.         139.31971538],[  0.         -11.18880748]
25.250000000001148,[   0.         3763.23138611],[ 0.         42.43056223],[ 0.         -3.40856569],0.3474582762487258,0.12370426306122448,[    0.         12346.56006081],[  0.         139.20788579],[  0.         -11.18295866]
25.26000000000115,[   0.         3763.65552139],[ 0.         42.39649437],[ 0.         -3.40678546],0.34727680530071353,0.1236049398542274,[    0.        12347.9515808],[  0.         139.09611459],[  0.         -11.17711801]
25.27000000000115,[   0.         3764.07931608],[ 0.        42.3624443],[ 0.         -3.40500772],0.3470955881753313,0.12350566851311952,[    0.         12349.34198337],[  0.         138.98440176],[  0.         -11.17128553]
25.28000000000115,[   0.         3764.50277036],[ 0.         42.32841197],[ 0.         -3.40323247],0.34691462487257896,0.12340644889212828,[    0.         12350.73126911],[  0.         138.87274713],[  0.         -11.16546122]
25.290000000001154,[   0.         3764.92588441],[ 0.         42.29439738],[ 0.         -3.40145969],0.3467339133537207,0.12330728099125365,[    0.         12352.11943861],[  0.        138.7611507],[  0.         -11.15964501]
25.300000000001155,[   0.        3765.3486584],[ 0.         42.26040048],[ 0.         -3.39968939],0.3465534546381243,0.12320816466472305,[    0.         12353.50649243],[  0.         138.64961231],[  0.         -11.15383694]
25.31000000000116,[   0.         3765.77109251],[ 0.         42.22642127],[ 0.         -3.39792156],0.34637324770642197,0.12310909991253645,[    0.         12354.89243115],[  0.         138.53813196],[  0.         -11.14803697]
