time,position,velocity,acceleration,rotation,angular_velocity,angular_acceleration,Angle to Body
1.1400000000000008,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.75989142e-15 1.18035601e+02],[360.32235965],[9.43118548],[1.66015094e-15],[3.14159265]
1.1500000000000008,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.73753332e-15 1.17690511e+02],[360.32235965],[9.43118548],[1.68987565e-15],[3.14159265]
1.1600000000000008,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.71502939e-15 1.17343191e+02],[360.32235965],[9.43118548],[1.71982007e-15],[3.14159265]
1.1700000000000008,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.69238073e-15 1.16993658e+02],[360.32235965],[9.43118548],[1.74998234e-15],[3.14159265]
1.1800000000000008,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.66958841e-15 1.16641930e+02],[360.32235965],[9.43118548],[1.78036057e-15],[3.14159265]
1.1900000000000008,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.64665354e-15 1.16288023e+02],[360.32235965],[9.43118548],[1.8109529e-15],[3.14159265]
1.2000000000000008,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.62357722e-15 1.15931954e+02],[360.32235965],[9.43118548],[1.8417574e-15],[3.14159265]
1.2100000000000009,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.60036059e-15 1.15573740e+02],[360.32235965],[9.43118548],[1.87277214e-15],[3.14159265]
1.2200000000000009,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.57700396e-15 1.15213387e+02],[360.32235965],[9.43118548],[1.90399654e-15],[3.14159265]
1.2300000000000009,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.55350870e-15 1.14850914e+02],[360.32235965],[9.43118548],[1.93542825e-15],[3.14159265]
1.2400000000000009,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.52987649e-15 1.14486349e+02],[360.32235965],[9.43118548],[1.96706442e-15],[3.14159265]
1.2500000000000009,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.50610850e-15 1.14119709e+02],[360.32235965],[9.43118548],[1.99890303e-15],[3.14159265]
1.260000000000001,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.48220589e-15 1.13751011e+02],[360.32235965],[9.43118548],[2.03094209e-15],[3.14159265]
1.270000000000001,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.45816986e-15 1.13380274e+02],[360.32235965],[9.43118548],[2.06317954e-15],[3.14159265]
1.280000000000001,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.43400160e-15 1.13007517e+02],[360.32235965],[9.43118548],[2.09561336e-15],[3.14159265]
1.290000000000001,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.40970230e-15 1.12632757e+02],[360.32235965],[9.43118548],[2.12824147e-15],[3.14159265]
1.300000000000001,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.38527318e-15 1.12256013e+02],[360.32235965],[9.43118548],[2.16106179e-15],[3.14159265]
1.310000000000001,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.36071547e-15 1.11877304e+02],[360.32235965],[9.43118548],[2.19407222e-15],[3.14159265]
1.320000000000001,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.33603040e-15 1.11496649e+02],[360.32235965],[9.43118548],[2.22727066e-15],[3.14159265]
1.330000000000001,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.31121920e-15 1.11114066e+02],[360.32235965],[9.43118548],[2.26065498e-15],[3.14159265]
1.340000000000001,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.28628313e-15 1.10729576e+02],[360.32235965],[9.43118548],[2.29422304e-15],[3.14159265]
1.350000000000001,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.26122343e-15 1.10343197e+02],[360.32235965],[9.43118548],[2.32797267e-15],[3.14159265]
1.360000000000001,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.23604139e-15 1.09954948e+02],[360.32235965],[9.43118548],[2.36190172e-15],[3.14159265]
1.370000000000001,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.21073827e-15 1.09564849e+02],[360.32235965],[9.43118548],[2.396008e-15],[3.14159265]
1.380000000000001,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.18531536e-15 1.09172920e+02],[360.32235965],[9.43118548],[2.4302893e-15],[3.14159265]
1.390000000000001,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.16079682e-15 1.08795885e+02],[360.32235965],[9.43118548],[2.46474364e-15],[3.14159265]
1.400000000000001,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.13616155e-15 1.08417067e+02],[360.32235965],[9.43118548],[2.49937149e-15],[3.14159265]
1.410000000000001,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.11140948e-15 1.08036467e+02],[360.32235965],[9.43118548],[2.53417302e-15],[3.14159265]
1.420000000000001,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.08654184e-15 1.07654102e+02],[360.32235965],[9.43118548],[2.56914609e-15],[3.14159265]
1.430000000000001,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[7.06155990e-15 1.07269992e+02],[360.32235965],[9.43118548],[2.60428858e-15],[3.14159265]
