,Time (s),acceleration,altitude,speed,Weight,Net Force,Drag,Thrust
4920,44.99,-10.3,13794.61,103.7,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4921,45.0,-10.3,13788.95,103.6,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4922,45.01,-12.26,13806.81,103.49,-496.1496098878835,-620.0605726019828,-123.9109627140993,0.0
4923,45.02,-11.77,13791.56,103.37,-496.1496098878835,-595.2783800591629,-99.12877017127943,0.0
4924,45.03,-12.26,13802.88,103.26,-496.1496098878835,-620.0605726019828,-123.9109627140993,0.0
4925,45.04,-10.3,13804.63,103.15,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4926,45.05,-10.79,13797.66,103.03,-496.1496098878835,-545.7139949735232,-49.564385085639685,0.0
4927,45.06,-12.26,13811.17,102.92,-496.1496098878835,-620.0605726019828,-123.9109627140993,0.0
4928,45.07,-10.79,13805.94,102.8,-496.1496098878835,-545.7139949735232,-49.564385085639685,0.0
4929,45.08,-12.26,13811.61,102.68,-496.1496098878835,-620.0605726019828,-123.9109627140993,0.0
4930,45.09,-14.22,13806.37,102.56,-496.1496098878835,-719.1893427732624,-223.0397328853789,0.0
4931,45.1,-10.79,13819.03,102.45,-496.1496098878835,-545.7139949735232,-49.564385085639685,0.0
4932,45.11,-10.79,13818.16,102.34,-496.1496098878835,-545.7139949735232,-49.564385085639685,0.0
4933,45.12,-9.32,13813.36,102.23,-496.1496098878835,-471.36741734506364,24.78219254281987,0.0
4934,45.13,-11.28,13817.29,102.12,-496.1496098878835,-570.4961875163431,-74.34657762845956,0.0
4935,45.14,-8.83,13814.23,102.02,-496.1496098878835,-446.5852248022438,49.56438508563974,0.0
4936,45.14,-8.83,13814.23,102.02,-496.1496098878835,-446.5852248022438,49.56438508563974,0.0
4937,45.15,-12.26,13822.97,101.91,-496.1496098878835,-620.0605726019828,-123.9109627140993,0.0
4938,45.16,-11.28,13827.34,101.8,-496.1496098878835,-570.4961875163431,-74.34657762845956,0.0
4939,45.17,-10.79,13825.59,101.69,-496.1496098878835,-545.7139949735232,-49.564385085639685,0.0
4940,45.18,-9.81,13823.41,101.58,-496.1496098878835,-496.1496098878835,-0.0,0.0
4941,45.18,-9.81,13823.41,101.58,-496.1496098878835,-496.1496098878835,-0.0,0.0
4942,45.18,-9.81,13823.41,101.58,-496.1496098878835,-496.1496098878835,-0.0,0.0
4943,45.18,-9.81,13823.41,101.58,-496.1496098878835,-496.1496098878835,-0.0,0.0
4944,45.18,-9.81,13823.41,101.58,-496.1496098878835,-496.1496098878835,-0.0,0.0
4945,45.18,-9.81,13823.41,101.58,-496.1496098878835,-496.1496098878835,-0.0,0.0
4946,45.19,-11.28,13817.72,101.48,-496.1496098878835,-570.4961875163431,-74.34657762845956,0.0
4947,45.2,-9.81,13825.59,101.37,-496.1496098878835,-496.1496098878835,-0.0,0.0
4948,45.21,-12.26,13827.34,101.25,-496.1496098878835,-620.0605726019828,-123.9109627140993,0.0
4949,45.22,-12.26,13833.91,101.14,-496.1496098878835,-620.0605726019828,-123.9109627140993,0.0
4950,45.23,-12.75,13835.23,101.03,-496.1496098878835,-644.8427651448027,-148.69315525691917,0.0
4951,45.24,-10.3,13827.78,100.92,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4952,45.25,-9.32,13827.78,100.81,-496.1496098878835,-471.36741734506364,24.78219254281987,0.0
4953,45.26,-9.81,13832.16,100.7,-496.1496098878835,-496.1496098878835,-0.0,0.0
4954,45.27,-10.79,13834.79,100.6,-496.1496098878835,-545.7139949735232,-49.564385085639685,0.0
4955,45.28,-9.81,13833.47,100.49,-496.1496098878835,-496.1496098878835,-0.0,0.0
4956,45.29,-11.77,13835.23,100.38,-496.1496098878835,-595.2783800591629,-99.12877017127943,0.0
4957,45.3,-11.77,13834.35,100.27,-496.1496098878835,-595.2783800591629,-99.12877017127943,0.0
4958,45.31,-12.26,13838.73,100.15,-496.1496098878835,-620.0605726019828,-123.9109627140993,0.0
4959,45.32,-12.26,13842.24,100.03,-496.1496098878835,-620.0605726019828,-123.9109627140993,0.0
4960,45.33,-12.26,13836.1,99.91,-496.1496098878835,-620.0605726019828,-123.9109627140993,0.0
4961,45.34,-13.24,13836.98,99.79,-496.1496098878835,-669.6249576876226,-173.47534779973904,0.0
4962,45.35,-11.28,13840.05,99.67,-496.1496098878835,-570.4961875163431,-74.34657762845956,0.0
4963,45.36,-9.81,13843.12,99.56,-496.1496098878835,-496.1496098878835,-0.0,0.0
4964,45.37,-11.77,13849.7,99.44,-496.1496098878835,-595.2783800591629,-99.12877017127943,0.0
4965,45.38,-11.77,13845.31,99.33,-496.1496098878835,-595.2783800591629,-99.12877017127943,0.0
4966,45.39,-11.77,13844.0,99.22,-496.1496098878835,-595.2783800591629,-99.12877017127943,0.0
4967,45.4,-10.3,13842.68,99.11,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4968,45.41,-10.3,13845.75,99.0,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4969,45.42,-10.3,13850.14,98.89,-496.1496098878835,-520.9318024307034,-24.782192542819928,0.0
4970,45.43,-11.77,13849.7,98.78,-496.1496098878835,-595.2783800591629,-99.12877017127943,0.0
4971,45.44,-11.77,13844.43,98.66,-496.1496098878835,-595.2783800591629,-99.12877017127943,0.0
4972,45.45,-11.28,13853.66,98.55,-496.1496098878835,-570.4961875163431,-74.34657762845956,0.0
4973,45.46,-11.77,13850.14,98.43,-496.1496098878835,-595.2783800591629,-99.12877017127943,0.0
4974,45.46,-11.77,13850.14,98.43,-496.1496098878835,-595.2783800591629,-99.12877017127943,0.0
4975,45.47,-13.73,13854.54,98.31,-496.1496098878835,-694.4071502304424,-198.2575403425589,0.0
4976,45.48,-9.81,13856.73,98.2,-496.1496098878835,-496.1496098878835,-0.0,0.0
4977,45.49,-12.26,13858.93,98.08,-496.1496098878835,-620.0605726019828,-123.9109627140993,0.0
4978,45.5,-12.26,13854.97,97.97,-496.1496098878835,-620.0605726019828,-123.9109627140993,0.0
