,Chamber Pressure [psia],O/F Ratio,Exit Pressure [psia],gamma,Exit Velocity [m/s],Thrust Coefficient
188,235.1,2.3,8.215683533687448,1.2873,1512.375,1.4385
189,249.8,2.3,8.739766286474005,1.2866,1514.0492,1.4385
190,264.5,2.3,9.265097379851479,1.286,1515.4445,1.4385
191,279.2,2.3,9.790651190517936,1.2855,1516.8384,1.4384
192,293.9,2.3,10.31698669568575,1.2849,1517.9537999999998,1.4384
193,308.6,2.3,10.844050882001548,1.2844,1519.068,1.4384
194,323.3,2.3,11.371790362293353,1.2839,1520.181,1.4384
195,338.0,2.3,11.900151392458543,1.2834,1521.8424000000002,1.4384
196,352.7,2.3,12.4286419057016,1.2829,1522.9536,1.4384
197,191.0,2.5,6.508553124787023,1.2998,1521.8477000000003,1.439
198,205.7,2.5,7.019040469528424,1.2991,1523.82,1.4389
199,220.4,2.5,7.530408637419708,1.2984,1525.5109999999997,1.4389
200,235.1,2.5,8.04255610290093,1.2977,1526.6538,1.4389
201,249.8,2.5,8.555380505514076,1.2971,1528.3408,1.4389
202,264.5,2.5,9.069089662266416,1.2965,1529.7471,1.4389
203,279.2,2.5,9.583304729868882,1.296,1530.873,1.4388
204,293.9,2.5,10.098268279274325,1.2954,1532.2766,1.4388
205,308.6,2.5,10.613564451781539,1.2949,1533.95,1.4388
206,323.3,2.5,11.129854034701186,1.2944,1535.0728,1.4388
207,338.0,2.5,11.646337261387913,1.2939,1536.1944,1.4388
208,352.7,2.5,12.163327240749043,1.2935,1537.0362000000002,1.4388
209,205.7,2.7,6.8846643014927364,1.3087,1538.1484,1.4393
210,220.4,2.7,7.38581146744412,1.308,1539.3036,1.4393
211,235.1,2.7,7.887673622760517,1.3074,1540.723,1.4393
212,249.8,2.7,8.390152151278004,1.3068,1542.141,1.4392
213,264.5,2.7,8.893147737206643,1.3062,1543.5576,1.4392
214,279.2,2.7,9.397192958836795,1.3056,1544.9728,1.4392
215,293.9,2.7,9.901623879792467,1.3051,1546.106,1.4392
216,308.6,2.7,10.406339571741697,1.3046,1547.7896,1.4392
217,323.3,2.7,10.911975158633725,1.3041,1548.6405000000002,1.4392
218,338.0,2.7,11.418147422471455,1.3037,1549.7708,1.4391
219,352.7,2.7,11.924806437434492,1.3032,1550.6196,1.4391
220,220.4,2.9,7.256683787699197,1.3167,1553.1537999999998,1.4396
221,235.1,2.9,7.749101816144237,1.3161,1554.5826000000002,1.4396
222,249.8,2.9,8.242320256046458,1.3156,1556.01,1.4396
223,264.5,2.9,8.736004227631534,1.315,1557.436,1.4395
224,279.2,2.9,9.230362338005818,1.3145,1558.5783000000001,1.4395
225,293.9,2.9,9.725025644419443,1.314,1559.7194000000002,1.4395
226,308.6,2.9,10.220573623898789,1.3135,1560.5772000000002,1.4395
227,323.3,2.9,10.716653407584197,1.3131,1562.2698,1.4395
228,338.0,2.9,11.213216998971568,1.3126,1563.1259999999997,1.4395
229,352.7,2.9,11.710216142634218,1.3122,1563.9812,1.4395
230,220.4,3.1,7.141699880107579,1.3246,1566.8115,1.4399
231,235.1,3.1,7.625689263704184,1.3241,1568.248,1.4398
232,249.8,3.1,8.110126294600825,1.3236,1569.3991999999998,1.4398
233,264.5,3.1,8.595197088356676,1.3231,1570.5492,1.4398
234,279.2,3.1,9.081151406732802,1.3226,1571.698,1.4398
235,293.9,3.1,9.567368729450827,1.3221,1573.1165,1.4398
236,308.6,3.1,10.054082231054931,1.3216,1573.98,1.4398
237,323.3,3.1,10.541245516791653,1.3212,1574.8425,1.4398
238,338.0,3.1,11.029171833191933,1.3208,1575.704,1.4398
239,352.7,3.1,11.517486856284492,1.3204,1577.121,1.4398
240,14.7,3.3,0.46529294463963533,1.3375,1569.1855999999998,1.4402
241,29.4,3.3,0.9309984483359194,1.3372,1569.2103,1.4402
242,44.1,3.3,1.397382680059571,1.3368,1570.6418,1.4402
